name,spikelets_num,H1S1V1,H1S2V1,H1S3V1,H2S1V1,H2S2V1,H2S3V1,H3S1V1,H3S2V1,H3S3V1,H1S1V2,H1S2V2,H1S3V2,H2S1V2,H2S2V2,H2S3V2,H3S1V2,H3S2V2,H3S3V2,H1S1V3,H1S2V3,H1S3V3,H2S1V3,H2S2V3,H2S3V3,H3S1V3,H3S2V3,H3S3V3,ratio,bbox_width,bbox_height,spike_perimeter
Spike_450,10,7209,119505,438613,63,367,0,63,21647,9,847933,1218949,142383,21,19773,196,16346,3145,13077,43,308900,197302,0,0,0,0,0,19432,0.0867797638294117,14.926119378658813,63.17566806781172,145.64870034817974
Spike_196,12,907452,54465,459671,1891,861,53,25979,19772,81,963357,146283,145487,220,533,17221,2614,14699,15994,1091,326619,253165,0,0,0,0,0,17468,0.0869741442728782,33.31109725651235,100.80303321226583,284.0812481048567
Spike_62,11,559493,8002,468116,607,652,6,9545,8598,4,1715076,64885,103526,33,927,17939,18701,12641,17921,3603,182205,163995,2,0,0,0,2,18497,0.0858254264155406,24.374421102013528,63.08168841542234,151.44224580669922
Spike_793,12,6178,4748,584431,94,896,28,196,26395,17,1385541,140818,179332,37,22519,1545,23363,1021,17823,308637,339922,307411,0,0,0,0,0,24024,0.0756736145601672,18.615709181801133,87.32735120243295,218.16358982559197
Spike_378,10,600469,19612,459966,140,717,37,4633,19921,35,1317694,230191,119446,37,703,17162,8035,9393,16361,737,316789,215376,0,0,0,0,0,17522,0.087739761233414,44.57179870657431,74.5787970484019,232.5482527333265
Spike_580,10,5605,5017,583190,130,1075,52,264,27309,53,1569155,166739,156730,45,20035,3851,21142,2372,11612,273333,243432,259909,0,0,0,0,0,23926,0.0772685907448818,16.535478419404704,71.78252080199519,170.97069341323459
Spike_705,11,18619,9087,597051,176,936,123,196,27142,46,1590648,189644,165258,10,20500,3412,19133,4378,10506,256160,172777,265202,0,0,0,0,0,23972,0.0765027085902036,16.142071512532958,93.10379635427778,218.45656862495102
Spike_188,10,767852,8590,455003,2555,687,32,27221,16706,30,1385517,48910,94032,1730,684,17226,12850,9672,17153,2117,324664,164082,16,0,0,0,1,17646,0.0871267444034209,17.686729113894444,79.98235136234038,196.91017500721557
Spike_453,8,47577,63977,435050,153,478,0,109,21760,4,1326060,750243,148102,13,19357,547,19151,392,15915,88,315044,191394,0,0,0,0,0,19562,0.0863505799444292,17.097414828996982,71.41192961404295,183.31686566872065
Spike_80,11,666042,10290,466207,986,684,16,7757,13622,7,1591596,69343,98458,26,893,17714,17690,8013,17686,1169,201168,167318,1,0,0,0,1,18289,0.085726133628455,20.231367536315382,82.03990988243144,187.23546186194253
Spike_84,9,553310,32779,465610,492,752,8,1788,16371,4,1644333,104779,103412,33,1011,17571,16994,5470,17200,6455,192783,175639,0,0,0,0,1,18181,0.0860517518375284,14.800901316054885,68.15298745532249,158.52708192143476
Spike_12,12,933562,55941,473646,174,677,4,6735,20608,37,1050159,290033,108273,3,1029,17850,14904,3343,17357,2638,173569,185974,0,0,0,0,1,18459,0.0856158352674845,36.472345823948395,91.86579124201086,228.99031023043344
Spike_461,8,6293,68847,422546,115,334,0,37,21463,13,999111,1112484,150439,65,19945,5,18425,1221,15247,87,329971,188717,0,0,0,0,0,19611,0.0868570059711758,11.378267782224029,56.63076789320662,129.1084077839773
Spike_754,18,5521,4496,591588,149,899,66,191,27033,33,1807843,111976,168258,62,21864,2106,22753,895,15191,218208,147208,204674,0,0,0,0,0,23962,0.0764033709465268,20.55250678461571,53.94077988824792,139.47316213721152
Spike_437,8,115202,21814,451773,191,581,0,262,21713,3,1559511,466515,128825,10,11154,8808,19139,289,17583,95,363366,168559,0,0,0,0,0,19583,0.0867417671627602,17.69532050120308,59.15788520500246,138.9838355120401
Spike_828,9,12078,6683,603579,130,1014,62,316,27240,57,1804389,136911,164258,28,19741,4191,21666,1830,12518,150708,161305,222380,0,0,0,0,0,23892,0.075337993332887,13.937528766584096,53.56531325968266,135.70323922009982
Spike_531,10,5865,3923,583786,114,917,61,174,27064,35,1468745,152358,180304,43,21883,2121,22883,854,14743,382967,243210,238899,0,0,0,0,0,24027,0.0764877294088883,20.116272834537625,79.47075085583495,198.44001242158257
Spike_430,10,62148,152463,464937,101,704,0,147,21942,20,965249,936975,140394,15,17613,2116,13318,5949,14505,36,329417,227423,0,0,0,0,0,19504,0.0865587230691255,34.017578166166324,72.18997503965066,210.8779003333949
Spike_569,22,17261,9804,587293,154,1032,107,323,27237,78,1662646,137846,171161,19,17002,6890,21178,2257,9815,228646,181709,268632,0,0,0,0,0,23886,0.0772521152428179,31.75061936479816,93.70681578953811,283.63724258497575
Spike_432,9,241949,37947,465250,181,722,0,500,21962,28,1397999,449124,133148,5,6522,13276,17259,1961,15939,42,335609,216036,0,0,0,0,0,19517,0.0868675180499227,25.973387896926887,82.00293703912702,203.41464454521582
Spike_621,9,6263,5458,579848,115,1154,70,282,27341,43,1670410,159612,163461,7,19751,4106,20146,3340,10039,292376,165987,221360,0,0,0,0,0,23807,0.0776037035244943,11.252537011051674,48.50231470280894,120.55558906812459
Spike_728,9,13290,9405,601956,159,1008,81,327,27227,74,1714391,181606,155292,33,19404,4467,18617,4758,10059,198402,164198,226378,0,0,0,0,0,23844,0.0766847588973033,12.652985218055045,76.3780198617141,180.76187150202549
Spike_445,10,12482,37279,384159,183,203,0,9,8105,19,1255802,917698,167398,44,20088,3,19231,13928,15749,142,334666,168143,0,0,0,0,0,19645,0.0866510250708694,8.66510250708694,39.16626333203297,91.09354633430068
Spike_18,10,1218011,31879,480900,1137,821,40,12412,20569,69,935391,138772,101159,5,687,18039,6795,11379,16855,919,170683,190070,2,0,0,0,0,18382,0.0856243468932804,23.974817130118513,74.92130353162035,185.77407826900492
Spike_136,9,818785,64736,471399,160,739,13,2432,20438,18,1178597,267306,102645,5,913,17518,12885,4977,14626,389,196446,181877,0,0,0,0,0,18072,0.0864677523360024,16.342405191504454,86.3812845836664,205.3359994383422
Spike_114,11,995200,44359,472505,726,857,56,13881,20388,65,1116167,144296,103087,88,666,17719,6393,11510,16344,1045,190891,200630,0,0,0,0,0,18103,0.0869826356842471,15.830839694532973,99.68210049414718,234.93040160956676
Spike_90,22,497061,10338,465333,441,728,11,5698,14913,12,1696665,104130,106632,98,980,17587,16516,7920,17185,8032,216187,170302,0,0,0,0,0,18207,0.0854942958021898,38.64342170258979,85.06682432317885,247.19545962229986
Spike_36,21,436627,6508,458026,828,517,2,13830,3355,4,1861689,57390,111576,299,1023,17944,20667,17416,17999,11364,169198,150138,0,0,0,0,2,18574,0.0859515334905547,31.716115858014685,63.0024740485766,165.18106062551098
Spike_817,11,8123,5008,597285,132,884,83,249,27002,40,1576914,158737,174989,55,20933,3047,22892,697,16254,218807,260279,258618,0,0,0,0,0,23948,0.076020743346215,32.30881592214138,63.62936218078196,170.80303735314544
Spike_790,8,10012,7136,602176,139,927,47,230,27091,47,1822256,132711,167690,46,21280,2671,21357,2163,13839,167539,151318,200399,0,0,0,0,0,23902,0.075956442951678,11.545379328655056,60.46132858953569,143.23442861156414
Spike_242,11,364787,5491,429578,1395,523,3,9969,2909,4,1763019,38488,113898,540,1072,17059,19291,16958,17210,14390,361268,179353,1,0,0,0,11,17759,0.0875256425445976,14.179154092224811,98.29129657758311,219.76952430861357
Spike_440,8,31459,60570,431388,156,466,0,115,21594,8,1202296,886326,150921,39,19711,222,19006,651,16446,108,345903,168006,0,0,0,0,0,19585,0.08642009208101,11.92597270717938,54.098977642712256,136.55849709498128
Spike_190,11,942271,14449,457517,1700,852,49,17674,19694,47,1177894,64961,98987,627,609,17221,5852,11961,16245,1988,333627,173278,2,0,0,0,0,17471,0.0865756553510614,22.85597301268021,79.30330030157225,205.2921712617684
Spike_530,9,12910,9243,587929,112,971,67,212,27112,43,1425769,217763,185007,50,22050,1870,22576,1043,12999,335539,230808,256915,0,0,0,0,0,23988,0.0765973883548169,20.298307914026477,75.37183014113982,210.45705440151912
Spike_48,10,439669,6331,458495,783,523,3,14340,3288,3,1817801,63893,111513,393,1032,17917,20673,17642,18054,11013,192653,160441,1,0,0,0,8,18507,0.0860091359396917,21.588293120862616,78.26831370511945,179.7773561453023
Spike_32,10,369036,6954,460144,415,574,0,10769,3396,6,1892298,61931,113082,253,1044,17902,19765,17499,18015,8969,190885,163497,0,0,0,0,4,18538,0.0856388133267347,25.777282811347145,90.0920316197249,208.27517459986967
Spike_813,11,26330,8436,601089,117,863,107,288,27114,42,1580570,171058,175456,37,20159,3848,22386,1164,14589,188176,255023,254217,0,0,0,0,0,23907,0.0754689911049359,15.47114317651186,65.65802226129424,161.66301799599879
Spike_240,11,430824,5195,440233,749,533,1,10476,2999,0,1697628,42512,106026,251,938,17104,19563,17001,17133,7073,371729,169327,3,0,0,0,3,17675,0.0877278956033256,15.96647699980526,79.21828972980302,180.75207401245945
Spike_71,10,575171,7980,467782,408,558,10,5244,13330,3,1643155,109250,104128,68,912,17698,17352,8218,17638,1839,204507,161476,0,0,0,0,0,18249,0.0862678450920816,19.841604371178768,63.14806260740373,150.18506001140076
Spike_212,20,637257,8411,453452,1481,694,14,23640,17853,12,1527002,49178,98039,725,880,17108,11978,8923,16857,12916,307884,163045,3,0,0,0,0,17624,0.0869097481461626,23.37872225131774,90.99450630903225,236.1630169956813
Spike_532,9,8278,5959,609581,137,976,93,222,27216,48,1519522,194623,159540,33,20534,3384,20789,2715,10870,243055,249385,274039,0,0,0,0,0,23977,0.0760514795899399,15.0581929588081,79.24564173271737,202.06532313721723
Spike_130,12,953015,77877,473211,1085,873,90,13838,20479,38,979443,234616,142409,8,546,17764,2775,14823,16550,509,169062,237897,0,0,0,0,0,18068,0.0867420050817525,43.71797056120326,94.89575355943724,271.8751888204003
Spike_788,12,5371,4119,585693,97,870,24,168,26528,45,1677559,91952,181873,60,22992,1006,23169,934,17762,309548,173859,227409,0,0,0,0,0,23938,0.0755318719532093,12.462758872279535,60.198901946707814,144.73510409137572
Spike_521,21,395205,8998,502507,186,821,46,12837,21905,48,1661189,43450,116422,698,782,19091,10135,10671,18430,4988,324974,202037,0,0,0,0,1,19555,0.0826365128212967,39.99607220550761,90.81752759060508,306.81740925864466
Spike_46,15,603177,13499,476005,690,741,11,11103,18483,19,1489408,145761,120138,151,755,18007,14331,7053,18014,1279,209522,208332,0,0,0,0,0,18497,0.0853883836417902,33.04530446937281,90.6824634275812,240.38132809582072
Spike_22,21,538936,7292,456502,449,547,2,12323,5660,5,1720507,68019,119752,18,1058,17881,18997,15146,17916,8069,165433,181875,0,0,0,0,9,18580,0.0856991844513655,44.13507999245323,82.61401381111634,227.32872199956194
Spike_425,8,261765,6602,443243,130,581,3,2115,3520,3,1961297,54887,103085,199,938,17101,17897,16784,17139,3705,299755,146569,0,0,0,0,1,17657,0.0877858415556123,12.377803659341334,55.305080180035745,127.73072343244529
Spike_58,11,584685,7504,468843,891,583,3,12231,8346,6,1680510,65974,104751,41,876,17956,19406,12978,17867,4276,169012,179732,2,0,0,0,1,18502,0.0860456666089204,31.664805312082706,64.19006729025462,163.42423628307415
Spike_441,7,18736,49338,414366,158,264,0,57,18951,13,1245316,895768,153574,37,20024,28,19205,3022,15870,130,342489,157952,0,0,0,0,0,19678,0.0866575243181937,12.132053404547117,46.10180293727905,106.61524538862575
Spike_38,9,210422,5230,443944,411,496,0,11719,2701,0,2090547,54388,113479,198,1216,17775,21201,17973,17990,19625,181141,145903,3,0,0,0,16,18598,0.0860630895991701,19.01994280141659,60.93266743621243,142.7642589400989
Spike_575,15,19920,23448,601520,155,1298,188,822,27437,125,1824035,219568,155696,8,13367,10183,13359,9376,9730,41552,144794,234683,0,0,0,0,0,23712,0.0772532917149053,17.381990635853693,73.93140017116437,181.9630433320739
Spike_385,12,360222,8760,454866,178,608,21,5905,17871,7,1767349,88589,97274,122,839,17154,14612,5289,17114,1531,329048,169970,0,0,0,0,1,17646,0.0877922048627121,17.031687743366145,84.01714005361548,188.7323051118863
Spike_194,10,673156,16658,452834,499,697,3,7699,19564,5,1390999,131292,107892,42,819,17035,10532,6944,16293,2907,333729,167838,0,0,0,0,0,17539,0.0876049444062376,16.38212460396643,77.44277085511403,185.54888912947985
Spike_407,10,521133,15041,459327,122,753,39,6174,19842,20,1431846,225921,115049,85,697,17163,10437,6926,15993,563,320945,189372,0,0,0,0,0,17528,0.0879159473068732,50.28792185953147,71.82732894971541,217.49935121903798
Spike_644,8,5842,5323,572809,146,1025,46,232,27244,57,1709266,122009,166320,33,20876,3096,21622,1944,11466,318861,143071,219741,0,0,0,0,0,23947,0.0771630948046758,12.346095168748128,68.44366509174743,159.87316869340006
Spike_410,8,304651,7054,448834,226,612,7,7411,4257,10,1843147,81968,97875,818,869,17166,19101,17287,17283,4020,335273,149423,0,0,0,0,1,17683,0.0872109136314499,22.238782976019724,59.91389766480608,144.2705028970502
Spike_380,9,562102,17567,460026,128,726,63,5712,19891,51,1363410,246118,117643,74,664,17162,8993,8361,16492,651,320424,191123,0,0,0,0,0,17595,0.0877446368917202,40.97674542843333,65.19426521054811,194.25400065732737
Spike_622,10,9841,6814,588453,168,1164,98,382,27519,71,1762346,171921,157096,13,17346,6450,18431,4881,7929,187289,166902,216074,0,0,0,0,0,23788,0.0774015867366029,12.84866339827608,52.09126787373375,130.65286684744618
Spike_765,8,11386,5051,553353,145,915,71,164,27006,71,1842808,94945,172623,80,21495,2438,23018,685,17208,238567,147380,191548,0,0,0,0,0,24019,0.0781879910723643,11.024506741203366,61.76851294716779,143.5881663008958
Spike_6,10,651789,10681,454340,1031,621,0,13183,10073,5,1601386,89446,117119,50,1108,17875,21382,10654,17923,15668,159867,162144,1,0,0,0,11,18619,0.086031596559281,16.43203494282267,63.491318260749374,154.45406390973895
Spike_232,20,677197,8682,454585,418,689,6,15605,19404,24,1436079,80634,102190,111,914,17036,11172,6855,16580,5211,312122,191878,0,0,0,0,0,17584,0.0874262814884694,36.2819068177148,83.22981997702287,257.2040681600144
Spike_814,9,5082,4373,592792,103,864,73,183,26979,24,1627571,111129,170682,41,22057,2007,23236,459,16999,266963,250684,228692,0,0,0,0,0,23983,0.0756176918700314,17.467686821977253,67.07289268871784,168.98712713293313
Spike_436,9,255428,12986,465660,137,713,0,918,21986,18,1700377,235657,114653,5,2920,16963,17613,1648,17352,113,319936,170359,0,0,0,0,0,19534,0.0863636329811862,17.445453862199614,55.27272510795917,130.6588043516829
Spike_128,12,905295,31709,472909,516,818,46,5422,20237,25,1234054,129534,102960,159,711,17706,9263,8725,16848,2107,201112,196717,0,0,0,0,0,18103,0.08617932731167,17.58058277158068,95.83141197057704,225.45301531653212
Spike_214,11,806444,19633,457019,566,790,14,11544,19756,32,1263819,83627,98530,154,794,17106,7967,9656,16396,1725,343777,198084,0,0,0,0,0,17543,0.0872269251533948,20.672781261354565,99.35146774971668,232.08208547716848
Spike_76,10,656597,9976,464082,637,601,6,4467,11069,5,1600525,75957,102184,111,929,17699,17845,10143,17724,2062,197451,166614,0,0,0,0,2,18290,0.0866456654781758,20.361731387371314,72.3491306742768,171.18457758141716
Spike_208,9,509126,6401,448022,672,630,5,13707,8827,6,1670854,49180,99388,268,959,17070,15497,14794,16890,18452,308600,157974,3,0,0,0,0,17651,0.0870499833251952,16.71359679843748,59.36808862778313,138.5926859446994
Spike_438,8,77061,21785,436137,166,440,0,162,20436,6,1604280,482805,142079,41,17650,2314,19284,1537,17831,154,337692,173543,0,0,0,0,0,19573,0.0864917535721555,12.022353746529614,54.57629650403012,130.35529036796422
Spike_712,11,10126,5980,590431,116,1047,72,227,27152,56,1538777,246199,166962,29,21191,2706,20966,2598,10998,297007,163997,244465,0,0,0,0,0,23874,0.0764928520167251,15.375063255361743,72.20925230378849,169.39634492598518
Spike_104,12,401075,8766,462579,385,628,7,4381,6256,7,1822935,82360,108498,44,928,17688,17764,14685,17661,1726,198384,189948,0,0,0,0,2,18269,0.0857623507225353,22.555498240026782,96.2253575106846,221.8814073525032
Spike_8,11,932453,71183,475946,117,691,4,7162,20754,28,881327,400595,118869,3,1072,17746,13348,4850,17135,2041,195173,196034,0,0,0,0,0,18445,0.0859989787525161,17.285794729255734,72.32514113086603,186.64739827522024
Spike_16,10,1040317,81247,481586,289,758,29,7731,20660,59,792535,321778,137767,2,733,17928,7671,10305,15548,468,205815,213405,0,0,0,0,0,18345,0.0858579393582636,16.055434659995292,76.92871366500418,196.41273991035084
Spike_431,7,27221,41062,405564,108,330,0,27,11315,21,1308308,831072,153008,58,19984,42,19178,10761,16946,179,333635,176472,0,0,0,0,0,19685,0.0861881014806364,13.962472439863095,48.179148727675745,117.68999475953983
Spike_427,10,85276,18893,449051,152,530,0,291,21671,12,1528683,486765,137356,11,14423,5528,19187,339,16716,162,372255,198114,0,0,0,0,0,19561,0.0868592991901402,25.276056064330795,71.65892183186565,197.920705953987
Spike_446,9,10094,134088,446035,95,370,0,70,21676,17,845526,1183834,139612,26,19699,251,15652,3812,12123,36,307403,215079,0,0,0,0,0,19478,0.0862933667313406,16.654619779148735,79.30360402610201,187.5650877985649
Spike_220,9,471332,7717,446264,302,604,2,5953,9617,6,1692274,75128,104536,33,1161,16859,16977,11469,16646,8573,314532,157407,0,0,0,0,0,17584,0.0870443089487816,15.058665448139216,66.85002927266427,152.3469020393451
Spike_134,11,1058691,89577,476092,847,872,73,13423,20368,69,883110,249355,134543,0,548,17720,3137,14135,16220,667,160022,217446,0,0,0,0,0,18061,0.0863317151526597,36.518315509575054,88.92166660723949,264.97809310042953
Spike_370,9,644066,11188,457503,211,753,32,11433,20010,38,1495498,109723,98388,584,617,17292,8020,9642,17031,914,287657,166765,0,0,0,0,0,17611,0.0860893137171701,15.582165782807788,72.48720214985723,177.11789806377516
Spike_616,9,4941,4328,578561,156,972,68,188,27190,53,1574351,158818,164097,39,21281,2644,22241,1393,11938,330763,231317,215704,0,0,0,0,0,23933,0.0775435312006009,14.423096803311767,68.0832203941276,163.2199344522297
Spike_477,8,72558,54784,443143,170,563,0,211,21904,12,1474121,619089,117265,13,15471,4390,18531,811,16033,85,302331,194034,0,0,0,0,0,19457,0.0874668927117243,14.69443797556968,76.53353112275876,178.8915664957543
Spike_404,9,450968,9131,455429,192,751,40,9463,19481,12,1707570,75619,96004,696,681,17268,12264,6042,17047,1098,319206,158400,0,0,0,0,0,17614,0.0878245360420733,15.808416487573194,75.35345192409889,174.01626332101912
Spike_30,21,520022,7450,470040,333,617,0,12065,10871,12,1722972,75304,112636,47,925,17958,17968,10976,17814,2020,171428,184993,0,0,0,0,2,18523,0.0857350917080042,36.95182452614981,81.44833712260399,247.67172917448713
Spike_200,11,716023,9149,451804,3034,985,15,26129,18568,25,1441350,45034,94859,1629,812,17147,11416,9239,16622,11008,309263,173259,3,0,0,0,0,17603,0.0873444511292108,18.34233473713427,84.0253619863008,193.21117412960442
Spike_506,10,185656,124491,446856,135,816,1,491,22051,11,1155522,674430,140937,3,4854,14862,14815,4138,10918,30,317956,236608,0,0,0,0,0,19395,0.0876373144264041,47.84997367681664,76.24446355097157,255.61894823167665
